parameters,gcm,variable,value
σ,MPI-ESM1-2-HR,est,0.0805 ± 0.0048
T_∞,MPI-ESM1-2-HR,est,5.303 ± 0.073
ζ,MRI-ESM2-0,est,4.43 ± 0.32
ω_n,MRI-ESM2-0,est,0.0331 ± 0.0026
σ,MRI-ESM2-0,est,0.1085 ± 0.0066
T_∞,MRI-ESM2-0,est,7.16 ± 0.45
ζ,NESM3,est,2.006 ± 0.022
ω_n,NESM3,est,0.1135 ± 0.0038
σ,NESM3,est,0.1026 ± 0.0061
T_∞,NESM3,est,6.951 ± 0.021
ζ,NorESM2-LM,est,4.21 ± 0.44
ω_n,NorESM2-LM,est,0.0465 ± 0.0055
σ,NorESM2-LM,est,0.189 ± 0.011
T_∞,NorESM2-LM,est,4.9 ± 0.29
ζ,SAM0-UNICON,est,4.54 ± 0.35
ω_n,SAM0-UNICON,est,0.0324 ± 0.0027
σ,SAM0-UNICON,est,0.1395 ± 0.0084
T_∞,SAM0-UNICON,est,7.72 ± 0.45
ζ,UKESM1-0-LL,est,1.685 ± 0.023
ω_n,UKESM1-0-LL,est,0.054 ± 0.0019
σ,UKESM1-0-LL,est,0.0976 ± 0.0058
T_∞,UKESM1-0-LL,est,8.008 ± 0.049
ζ,Mean,est,2.226 ± 0.03
ω_n,Mean,est,0.0653 ± 0.0015
σ,Mean,est,0.0493 ± 0.0029
T_∞,Mean,est,6.03 ± 0.03
